№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1715.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Скуридина, дом 6 А, литера А, ",,,,,,,,,,,
1716.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Дегтярева, дом 1/7, ",,,,,,,,,,,
1717.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Дегтярева, дом 1/7, ",,,,,,,,,,,
1718.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Федюнинского, дом 6, ",,,,,,,,,,,
1719.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Федюнинского, дом 6, ",,,,,,,,,,,
1720.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, Ораниенбаумский проспект, дом 39 В, ",,,,,,,,,,,
1721.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Победы, дом 28, корпус 2, ",,,,,,,,,,,
1722.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Победы, дом 28, корпус 2, ",,,,,,,,,,,
1723.0,"198412, Город Санкт-Петербург, Петродворцовый район, муниципальное образование город Ломоносов, улица Александровская, дом 38, ",,,,,,,,,,,
1793.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 66, ",,,,,,,,,,,
1794.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 66, ",,,,,,,,,,,
1795.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Приморский проспект, дом 63, ",,,,,,,,,,,
1796.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 19, ",,,,,,,,,,,
1797.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 13, ",,,,,,,,,,,
1798.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 13, ",,,,,,,,,,,
1799.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Школьная улица, дом 19, ",,,,,,,,,,,
1800.0,"197183, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Савушкина улица, дом 5, ",,,,,,,,,,,
1801.0,"197342, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Новосибирская улица, дом 16/2, ",,,,,,,,,,,
1802.0,"197342, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Новосибирская улица, дом 16/2, ",,,,,,,,,,,
1803.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Омская улица, дом 16, ",,,,,,,,,,,
1804.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Омская улица, дом 17, ",,,,,,,,,,,
1805.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Омская улица, дом 17, ",,,,,,,,,,,
1806.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Торжковская улица, дом 10 А, ",,,,,,,,,,,
1807.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Торжковская улица, дом 10 А, ",,,,,,,,,,,
1808.0,"197343, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Торжковская улица, дом 30 А, ",,,,,,,,,,,
1809.0,"197342, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Сердобольская улица, дом 50/52, ",,,,,,,,,,,
1810.0,"197342, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Черная речка, Сердобольская улица, дом 50/52, ",,,,,,,,,,,
1812.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Сизова проспект, дом 32, корпус 3, ",,,,,,,,,,,
1813.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Сизова проспект, дом 32, корпус 3, ",,,,,,,,,,,
1814.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Сизова проспект, дом 32, корпус 3, ",,,,,,,,,,,
1815.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Сизова проспект, дом 32, корпус 3, ",,,,,,,,,,,
1816.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Королева проспект, дом 32, корпус 1, ",,,,,,,,,,,
1817.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 1, корпус 3, ",,,,,,,,,,,
1818.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 1, корпус 3, ",,,,,,,,,,,
1819.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 1, корпус 3, ",,,,,,,,,,,
1820.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 1, корпус 3, ",,,,,,,,,,,
1821.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 8, корпус 2, ",,,,,,,,,,,
1822.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 8, корпус 2, ",,,,,,,,,,,
1823.0,"197349, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Маршала Новикова улица, дом 8, корпус 2, ",,,,,,,,,,,
1824.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 17, корпус 3, ",,,,,,,,,,,
1825.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 17, корпус 3, ",,,,,,,,,,,
1826.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 17, корпус 3, ",,,,,,,,,,,
1827.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 21, корпус 3, ",,,,,,,,,,,
1828.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 21, корпус 3, ",,,,,,,,,,,
1829.0,"197371, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 21, корпус 3, ",,,,,,,,,,,
1830.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 22, корпус 3, ",,,,,,,,,,,
1831.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 22, корпус 3, ",,,,,,,,,,,
1832.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 22, корпус 3, ",,,,,,,,,,,
1833.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Авиаконструкторов проспект, дом 15, корпус 2, ",,,,,,,,,,,
1834.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Комендантский проспект, дом 22, корпус 3, ",,,,,,,,,,,
1835.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Авиаконструкторов проспект, дом 15, корпус 2, ",,,,,,,,,,,
1836.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Авиаконструкторов проспект, дом 15, корпус 2, ",,,,,,,,,,,
1837.0,"197372, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Авиаконструкторов проспект, дом 15, корпус 2, ",,,,,,,,,,,
1838.0,"197373, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Ильюшина улица, дом 15, корпус 3, ",,,,,,,,,,,
1839.0,"197373, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Ильюшина улица, дом 15, корпус 3, ",,,,,,,,,,,
1840.0,"197373, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Ильюшина улица, дом 15, корпус 3, ",,,,,,,,,,,
1841.0,"197227, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Богатырский проспект, дом 19, ",,,,,,,,,,,
1842.0,"197227, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Богатырский проспект, дом 19, ",,,,,,,,,,,
1843.0,"197227, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Богатырский проспект, дом 19, ",,,,,,,,,,,
1844.0,"197227, Город Санкт-Петербург, Приморский район, муниципальное образование муниципальный округ Озеро Долгое, Богатырский проспект, дом 19, ",,,,,,,,,,,
199.0,"194282, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 23, литера А, ",,,,,,,,,,,
200.0,"194282, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 23, литера А, ",,,,,,,,,,,
201.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Сиреневый бульвар, дом 18, корпус 2, литера А, ",,,,,,,,,,,
202.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Сиреневый бульвар, дом 18, корпус 2, литера А, ",,,,,,,,,,,
203.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Сиреневый бульвар, дом 8, корпус 2, литера А, ",,,,,,,,,,,
204.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Сиреневый бульвар, дом 18, корпус 2, литера А, ",,,,,,,,,,,
205.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Кустодиева, дом 18, корпус 2, литера А, ",,,,,,,,,,,
206.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Кустодиева, дом 18, корпус 2, литера А, ",,,,,,,,,,,
207.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Кустодиева, дом 18, корпус 2, литера А, ",,,,,,,,,,,
208.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Сиреневый бульвар, дом 18, корпус 2, литера А, ",,,,,,,,,,,
209.0,"194282, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 23, литера А, ",,,,,,,,,,,
210.0,"194282, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 23, литера А, ",,,,,,,,,,,
211.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 5, корпус 3, литера А, ",,,,,,,,,,,
212.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, проспект Художников, дом 29, корпус 3, литера А, ",,,,,,,,,,,
213.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, проспект Художников, дом 29, корпус 3, литера А, ",,,,,,,,,,,
214.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, проспект Художников, дом 29, корпус 3, литера А, ",,,,,,,,,,,
215.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Поэтический бульвар, дом 15, корпус 2, литера А, ",,,,,,,,,,,
216.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Поэтический бульвар, дом 15, корпус 2, литера А, ",,,,,,,,,,,
217.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, Поэтический бульвар, дом 15, корпус 2, литера А, ",,,,,,,,,,,
218.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 5, корпус 3, литера А, ",,,,,,,,,,,
219.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 5, корпус 3, литера А, ",,,,,,,,,,,
220.0,"194291, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ №15, улица Руднева, дом 5, корпус 3, литера А, ",,,,,,,,,,,
221.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 34, корпус 2, литера А, ",,,,,,,,,,,
222.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 36, корпус 2, литера А, ",,,,,,,,,,,
223.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 34, корпус 2, литера А, ",,,,,,,,,,,
224.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 34, корпус 2, литера А, ",,,,,,,,,,,
225.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 34, корпус 2, литера А, ",,,,,,,,,,,
226.0,"194358, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 36, корпус 2, литера А, ",,,,,,,,,,,
227.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Сиреневый бульвар, дом 8, корпус 2, литера А, ",,,,,,,,,,,
228.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Сиреневый бульвар, дом 8, корпус 2, литера А, ",,,,,,,,,,,
229.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Просвещения, дом 46, корпус 4, литера А, ",,,,,,,,,,,
230.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Просвещения, дом 46, корпус 4, литера А, ",,,,,,,,,,,
231.0,"194352, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Просвещения, дом 46, корпус 4, литера А, ",,,,,,,,,,,
232.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Художников, дом 24, корпус 2, литера А, ",,,,,,,,,,,
233.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Художников, дом 24, корпус 2, литера А, ",,,,,,,,,,,
234.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, проспект Художников, дом 24, корпус 2, литера А, ",,,,,,,,,,,
235.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Поэтический бульвар, дом 3, корпус 2, литера А, ",,,,,,,,,,,
236.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Поэтический бульвар, дом 3, корпус 2, литера А, ",,,,,,,,,,,
237.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Поэтический бульвар, дом 5, корпус 3, литера А, ",,,,,,,,,,,
238.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Поэтический бульвар, дом 5, корпус 3, литера А, ",,,,,,,,,,,
239.0,"194295, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, Поэтический бульвар, дом 5, корпус 3, литера А, ",,,,,,,,,,,
240.0,"194356, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 24, литера А, ",,,,,,,,,,,
241.0,"194356, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 24, литера А, ",,,,,,,,,,,
242.0,"194356, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 24, литера А, ",,,,,,,,,,,
243.0,"194356, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 22, корпус 3, литера А, ",,,,,,,,,,,
244.0,"194356, Город Санкт-Петербург, Выборгский район, муниципальное образование муниципальный округ Сергиевское, улица Есенина, дом 22, корпус 3, литера А, ",,,,,,,,,,,
414.0,"195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Непокоренных, дом 12, корпус 2, литера А, ",,,,,,,,,,,
415.0,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ",,,,,,,,,,,
416.0,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ",,,,,,,,,,,
417.0,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ",,,,,,,,,,,
418.0,"195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2, ",,,,,,,,,,,
419.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ",,,,,,,,,,,
420.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ",,,,,,,,,,,
421.0,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ",,,,,,,,,,,
422.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ",,,,,,,,,,,
423.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ",,,,,,,,,,,
424.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ",,,,,,,,,,,
425.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ",,,,,,,,,,,
426.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ",,,,,,,,,,,
427.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ",,,,,,,,,,,
428.0,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ",,,,,,,,,,,
429.0,"195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2, ",,,,,,,,,,,
430.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ",,,,,,,,,,,
431.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ",,,,,,,,,,,
432.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ",,,,,,,,,,,
433.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ",,,,,,,,,,,
434.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ",,,,,,,,,,,
435.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ",,,,,,,,,,,
436.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ",,,,,,,,,,,
437.0,"195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ",,,,,,,,,,,
438.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ",,,,,,,,,,,
439.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ",,,,,,,,,,,
440.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ",,,,,,,,,,,
441.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ",,,,,,,,,,,
442.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ",,,,,,,,,,,
443.0,"195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ",,,,,,,,,,,
444.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ",,,,,,,,,,,
445.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ",,,,,,,,,,,
446.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ",,,,,,,,,,,
447.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ",,,,,,,,,,,
448.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ",,,,,,,,,,,
449.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ",,,,,,,,,,,
450.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 7, корпус 2, ",,,,,,,,,,,
451.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 7, корпус 2, ",,,,,,,,,,,
452.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 15, ",,,,,,,,,,,
453.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 15, ",,,,,,,,,,,
454.0,"195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ",,,,,,,,,,,
455.0,"195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ",,,,,,,,,,,
456.0,"195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ",,,,,,,,,,,
457.0,"195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ",,,,,,,,,,,
458.0,"195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 35, корпус 2, ",,,,,,,,,,,
459.0,"195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 35, корпус 2, ",,,,,,,,,,,
460.0,"195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ",,,,,,,,,,,
461.0,"195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ",,,,,,,,,,,
462.0,"195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ",,,,,,,,,,,
463.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ",,,,,,,,,,,
464.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ",,,,,,,,,,,
465.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ",,,,,,,,,,,
466.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ",,,,,,,,,,,
467.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ",,,,,,,,,,,
468.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ",,,,,,,,,,,
469.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 27, корпус 3, ",,,,,,,,,,,
470.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 22, корпус 5, ",,,,,,,,,,,
471.0,"195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 22, корпус 5, ",,,,,,,,,,,
