№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
40.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бронницкая, дом 34, ",,,,,,,,,,,
41.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Московский проспект, дом 24-26/49, ",,,,,,,,,,,
42.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Малодетскосельский проспект, дом 23, ",,,,,,,,,,,
43.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Советский переулок, дом 4, ",,,,,,,,,,,
44.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, набережная реки Фонтанки, дом 134 а, ",,,,,,,,,,,
45.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 8-я Красноармейская, дом 3, ",,,,,,,,,,,
46.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 10-я Красноармейская, дом 5 а, ",,,,,,,,,,,
47.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 2-я Красноармейская, дом 4, ",,,,,,,,,,,
48.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 7-я Красноармейская, дом 12-14, ",,,,,,,,,,,
49.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица Егорова, дом 24, ",,,,,,,,,,,
50.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, набережная Обводного канала, дом 143, ",,,,,,,,,,,
51.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Лермонтовский проспект, дом 52, ",,,,,,,,,,,
52.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Московский проспект, дом 79, ",,,,,,,,,,,
