№ УИК,Адрес голосования,Координаты
121.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Средний проспект В.О., дом 20, ",59.9441455 30.2824511
122.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 7-я линия В.О., дом 66, ",59.94533699999999 30.2749799
123.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Средний проспект В.О., дом 31/52, ",59.94337650000001 30.2779591
124.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Средний проспект В.О., дом 31/52, ",59.94337650000001 30.2779591
125.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",59.9449481 30.267677
126.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",59.9449481 30.267677
127.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 17-я линия В.О., дом 34, ",59.9400501 30.264778
128.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 16-я линия В.О., дом 55, ",59.941698 30.263969
129.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",59.9449481 30.267677
130.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",59.9449481 30.267677
131.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Нахимова, дом 8, корпус 3, ",59.94275500000001 30.2354739
132.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Канареечная, дом 11, ",59.93190300000001 30.247504
133.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 3, ",59.92833 30.242488
134.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 3, литера А, ",59.929913 30.2472941
135.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 10, ",59.93234400000001 30.2376199
136.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 10, ",59.93234400000001 30.2376199
137.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 35, ",59.93660300000001 30.2364979
138.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, Шкиперский проток, дом 5, ",59.9342767 30.24228889999999
139.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Остоумова, дом 19 В, ",59.93585 30.2408431
140.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Остоумова, дом 19 В, ",59.93585 30.2408431
141.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 36, литера А, ",59.940879 30.238473
142.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 36, литера А, ",59.940879 30.238473
143.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 54, ",59.940303 30.2362421
144.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 54, ",59.940303 30.2362421
145.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 2, ",59.941193 30.211403
146.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Нахимова, дом 8, корпус 2, ",59.943003 30.235201
147.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Нахимова, дом 3, корпус 2, ",59.94352199999999 30.226054
148.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",59.94462499999999 30.22119589999999
149.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",59.944154 30.224403
150.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",59.94462499999999 30.22119589999999
151.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",59.944154 30.224403
152.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",59.944154 30.224403
153.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",59.94462499999999 30.22119589999999
154.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 2, ",59.941193 30.211403
155.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 20, корпус 3, ",59.94366300000001 30.2125351
156.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 18, ",59.942531 30.210562
157.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 3, ",59.94166380000001 30.2097463
158.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 46, корпус 1, ",59.953152 30.23267
159.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",59.95259799999999 30.228182
160.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",59.95259799999999 30.228182
161.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",59.95259799999999 30.228182
162.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",59.9532853 30.2248704
163.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",59.9532853 30.2248704
164.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",59.9532853 30.2248704
165.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 37, корпус 5, ",59.95335499999999 30.22911999999999
166.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 37, корпус 5, ",59.95335499999999 30.22911999999999
167.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",59.957337 30.218439
168.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",59.957337 30.218439
169.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",59.957337 30.218439
170.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",59.957337 30.218439
171.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",59.957337 30.218439
172.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",59.958702 30.2275609
173.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",59.958702 30.2275609
174.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",59.958702 30.2275609
175.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, проспект КИМа, дом 11 Б, ",59.953461 30.2468919
176.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, переулок Каховского, дом 9, ",59.95208899999999 30.235084
