№ ТИК,№ УИК,Адрес 1,Адрес 2,Члены избирательной комиссии,Координаты
13,1239,"197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Красных Командиров, дом 9","197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Красных Командиров, дом 9","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Виноградова Евгения Юрьевна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Сырма Иван Иванович</nobr></td><td>Зам.председателя</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>3</td><td><nobr>Селеменева Ирина Николаевна</nobr></td><td>Секретарь</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Бабина Евгения Николаевна</nobr></td><td>Член</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>5</td><td><nobr>Босякова Юлия Александровна</nobr></td><td>Член</td><td>Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!</td>
</tr>
<tr>
<td>6</td><td><nobr>Королева Ирина Владимировна</nobr></td><td>Член</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>7</td><td><nobr>Масликова Анна Сергеевна</nobr></td><td>Член</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Моругий Надежда Павловна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>9</td><td><nobr>Хватов Алексей Владимирович</nobr></td><td>Член</td><td>Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
</tbody></table>",60.19426899999999 29.6923062
13,1240,"197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Ново-Гагаринская, дом 39, корпус 2","197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Ново-Гагаринская, дом 39, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Мальшакова Светлана Вячеславовна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Филина Людмила Петровна</nobr></td><td>Зам.председателя</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>3</td><td><nobr>Шафикова Надежда Васильевна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>4</td><td><nobr>Агарков Борис Михайлович</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>5</td><td><nobr>Атапина Евгения Викторовна</nobr></td><td>Член</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>6</td><td><nobr>Каюкова Маргарита Романовна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Килина Александра Викторовна</nobr></td><td>Член</td><td>Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Лагун Карина Валерьевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>9</td><td><nobr>Прохоренкова Надежда Павловна</nobr></td><td>Член</td><td>Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ</td>
</tr>
<tr>
<td>10</td><td><nobr>Рыжикова Татьяна Владимировна</nobr></td><td>Член</td><td>собрание избирателей по месту службы</td>
</tr>
<tr>
<td>11</td><td><nobr>Сафронов Александр Борисович</nobr></td><td>Член</td><td>собрание избирателей по месту службы</td>
</tr>
</tbody></table>",60.083136 29.96232999999999
13,1241,"197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Ново-Гагаринская, дом 39, корпус 2","197701, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Ново-Гагаринская, дом 39, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Лагутина Елена Борисовна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Нашева Анна Михайловна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>3</td><td><nobr>Подольская Алёна Викторовна</nobr></td><td>Секретарь</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>4</td><td><nobr>Барышев Алексей Александрович</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>5</td><td><nobr>Бачурина Елена Владимировна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>6</td><td><nobr>Бражникова Юлия Владимировна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Дитлова Татьяна Степановна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>8</td><td><nobr>Казбан Татьяна Игоревна</nobr></td><td>Член</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>9</td><td><nobr>Козлова Елена Викторовна</nobr></td><td>Член</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>10</td><td><nobr>Мазур Тамара Яковлевна</nobr></td><td>Член</td><td>Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>11</td><td><nobr>Унон Ольга Евгеньевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
</tbody></table>",60.083136 29.96232999999999
13,1242,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 5","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 5","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Виткалова Татьяна Юрьевна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Григорьева Оксана Геннадьевна</nobr></td><td>Зам.председателя</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>3</td><td><nobr>Федосеева Наталья Владимировна</nobr></td><td>Секретарь</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Винник Надежда Анатольевна</nobr></td><td>Член</td><td>Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ</td>
</tr>
<tr>
<td>5</td><td><nobr>Громова Галина Юрьевна</nobr></td><td>Член</td><td>Профсоюз работников народного образования и науки Российской Федерации</td>
</tr>
<tr>
<td>6</td><td><nobr>Католикова Юлия Сергеевна</nobr></td><td>Член</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>7</td><td><nobr>Качурина Надежда Владимировна</nobr></td><td>Член</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Морозова Антонина Константиновна</nobr></td><td>Член</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>9</td><td><nobr>Павлов Николай Борисович</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>10</td><td><nobr>Симонова Анна Владимировна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
</tbody></table>",60.08716459999999 29.9558267
13,1243,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 10","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 10","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Ганусинец Олег Владимирович</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Андреева Мария Владимировна</nobr></td><td>Зам.председателя</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>3</td><td><nobr>Филимонова Надежда Фёдоровна</nobr></td><td>Секретарь</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>4</td><td><nobr>Акулова Светлана Геннадьевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>5</td><td><nobr>Головина Татьяна Викторовна</nobr></td><td>Член</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>6</td><td><nobr>Макаревская Елена Владимировна</nobr></td><td>Член</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>7</td><td><nobr>Мойжешевский Аркадий Геннадьевич</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>8</td><td><nobr>Ситников Юрий Игоревич</nobr></td><td>Член</td><td>Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!</td>
</tr>
<tr>
<td>9</td><td><nobr>Фомичева Анна Вячеславовна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
</tbody></table>",60.08738870000001 29.952351
13,1244,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 7","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 7","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Минаева Людмила Михайловна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Богомолова Евгения Николаевна</nobr></td><td>Зам.председателя</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>3</td><td><nobr>Сошникова Анна Аркадьевна</nobr></td><td>Секретарь</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Егорова Инна Анатольевна</nobr></td><td>Член</td><td>Курортное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»</td>
</tr>
<tr>
<td>5</td><td><nobr>Коннова Ирина Николаевна</nobr></td><td>Член</td><td>Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ</td>
</tr>
<tr>
<td>6</td><td><nobr>Крылова Оксана Сергеевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Парадовский Александр Федорович</nobr></td><td>Член</td><td>Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!</td>
</tr>
<tr>
<td>8</td><td><nobr>Попова Анна Евгеньевна</nobr></td><td>Член</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>9</td><td><nobr>Федукова Любовь Николаевна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>10</td><td><nobr>Шастина Лидия Михайловна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
</tbody></table>",60.0880531 29.9559262
13,1245,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 20","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, улица Токарева, дом 20","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Леонтьева Юлия Вячеславовна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Кузьмина Наталья Геннадьевна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>3</td><td><nobr>Ардашева Светлана Юрьевна</nobr></td><td>Секретарь</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>4</td><td><nobr>Бабикова Елена Викторовна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>5</td><td><nobr>Бабина Надежда Борисовна</nobr></td><td>Член</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>6</td><td><nobr>Богданова Наталия Анатольевна</nobr></td><td>Член</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>7</td><td><nobr>Иванова Юлия Александровна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>8</td><td><nobr>Обухова Марина Анатольевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>9</td><td><nobr>Осипов Андрей Борисович</nobr></td><td>Член</td><td>Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>10</td><td><nobr>Почкайло Ирина Алексеевна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
</tbody></table>",60.08969800000001 29.951191
13,1246,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, Дубковское шоссе, дом 42","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, Дубковское шоссе, дом 42","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Трушев Алексей Анатольевич</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Валюкевич Елена Владимировна</nobr></td><td>Зам.председателя</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>3</td><td><nobr>Каримова Ольга Владимировна</nobr></td><td>Секретарь</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>4</td><td><nobr>Беляева Наталья Григорьевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>5</td><td><nobr>Деник Анна Михайловна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>6</td><td><nobr>Каржауова Анна Петровна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Липская Анна Николаевна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>8</td><td><nobr>Стриж Анна Петровна</nobr></td><td>Член</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
</tbody></table>",60.0907739 29.94295
13,1247,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, Советский переулок, дом 10","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, Советский переулок, дом 10","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Подрезова Елена Александровна</nobr></td><td>Председатель</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>2</td><td><nobr>Фролова Ольга Владимировна</nobr></td><td>Зам.председателя</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>3</td><td><nobr>Кафарова Ольга Анатольевна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>4</td><td><nobr>Демидова Татьяна Ивановна</nobr></td><td>Член</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
<tr>
<td>5</td><td><nobr>Колтовая Раиса Васильевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>6</td><td><nobr>Корсакова Нина Петровна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>7</td><td><nobr>Куршина Ольга Юрьевна</nobr></td><td>Член</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>8</td><td><nobr>Мальвинова Элла Васильевна</nobr></td><td>Член</td><td>собрание избирателей по месту службы</td>
</tr>
</tbody></table>",59.9132486 30.3100641
13,1248,"197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, площадь Свободы, дом 6","197706, Город Санкт-Петербург, Курортный район, муниципальное образование город Сестрорецк, площадь Свободы, дом 6","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Волкова Елена Михайловна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Филипченкова Людмила Николаевна</nobr></td><td>Зам.председателя</td><td>Политическая партия ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>3</td><td><nobr>Седова Марина Ванадьевна</nobr></td><td>Секретарь</td><td>Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Винтилин Максим Владиславович</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>5</td><td><nobr>Демьянчук Александр Анатольевич</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>6</td><td><nobr>Левашко Марина Александровна</nobr></td><td>Член</td><td>Общероссийская политическая партия ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>7</td><td><nobr>Макарова Лариса Павловна</nobr></td><td>Член</td><td>Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Ольшевская Лидия Владимировна</nobr></td><td>Член</td><td>Политическая партия СПРАВЕДЛИВАЯ РОССИЯ</td>
</tr>
<tr>
<td>9</td><td><nobr>Семкулич Любомира Михайловна</nobr></td><td>Член</td><td>Общероссийская общественная организация ""Союз женщин России""</td>
</tr>
<tr>
<td>10</td><td><nobr>Хотякова Екатерина Владимировна</nobr></td><td>Член</td><td>Политическая партия ЛДПР – Либерально-демократическая партия России</td>
</tr>
</tbody></table>",52.296972 104.2357955
